player,position,team,age,birth_year,minutes_90s,tackles,dribble_tackles,dribbles_vs,dribbled_past,blocks,blocked_shots,interceptions,clearances,errors,club,games,goals,assists,pens_made,cards_yellow,xg,npxg,passes_completed,pass_xa,assisted_shots,crosses_into_penalty_area,progressive_passes,sca,gca,shots,average_shot_distance,through_balls,throw_ins,corner_kicks,touches,miscontrols,dispossessed,gk_goals_against,fouls,fouled,offsides,own_goals,ball_recoveries,aerials_won,unused_subs,points_per_game,on_goals_for,plus_minus
Krépin Diatta,FW,Senegal,23-296,1999.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Monaco,3.0,0.0,0.0,0.0,0.0,0.1,0.1,60.0,0.2,3.0,1.0,6.0,4.0,0.0,3.0,16.5,0.0,0.0,1.0,88.0,7.0,7.0,,4.0,2.0,2.0,0.0,11.0,2.0,1,1.0,2.0,0.0
Kudus Mohammed,FW,Ghana,22-138,2000.0,2.7,5.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,Ajax,3.0,2.0,0.0,0.0,1.0,0.8,0.8,62.0,0.1,0.0,0.0,5.0,5.0,0.0,8.0,21.8,1.0,1.0,1.0,118.0,4.0,6.0,,3.0,5.0,1.0,0.0,22.0,0.0,0,1.0,4.0,-1.0
Kwon Chang-hoon,FW,Korea Republic,28-171,1994.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sangju Sangmu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.2,1.0,1.0,1.0,2.0,0.0,0.0,,0.0,0.0,1.0,28.0,1.0,1.0,,0.0,0.0,0.0,0.0,3.0,0.0,3,0.0,0.0,-2.0
Kwon Kyung-won,DF,Korea Republic,30-321,1992.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,Gamba Osaka,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,33.8,0.0,0.0,0.0,53.0,0.0,0.0,,0.0,3.0,0.0,0.0,2.0,2.0,2,1.5,2.0,1.0
Kye Rowles,DF,Australia,24-177,1998.0,4.0,8.0,4.0,7.0,3.0,9.0,7.0,7.0,16.0,1.0,Hearts,4.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,231.0,1.0,0.0,,1.0,2.0,0.0,0.0,12.0,4.0,0,1.5,4.0,-2.0
Kyle Walker,DF,England,32-204,1990.0,2.6,3.0,3.0,5.0,2.0,2.0,0.0,3.0,3.0,0.0,Manchester City,3.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.1,0.0,0.0,12.0,3.0,0.0,0.0,,0.0,21.0,0.0,198.0,1.0,0.0,,3.0,3.0,0.0,0.0,10.0,4.0,2,2.0,6.0,4.0
Kylian Mbappé,FW,France,23-363,1998.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris S-G,7.0,8.0,2.0,2.0,0.0,5.2,3.6,173.0,1.3,11.0,2.0,16.0,46.0,11.0,29.0,17.1,3.0,4.0,5.0,325.0,21.0,10.0,,7.0,7.0,6.0,0.0,20.0,1.0,0,2.29,16.0,9.0
Lautaro Martínez,FW,Argentina,25-118,1997.0,2.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Inter,6.0,0.0,0.0,0.0,0.0,1.8,1.8,46.0,0.0,1.0,0.0,0.0,7.0,1.0,14.0,12.6,0.0,0.0,0.0,96.0,9.0,6.0,,1.0,5.0,5.0,0.0,13.0,6.0,1,1.83,2.0,-4.0
Lawrence Ati-Zigi,GK,Ghana,26-019,1996.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St. Gallen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,87.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1.0,5.0,-2.0
Leander Dendoncker,DF,Belgium,27-247,1995.0,1.8,6.0,4.0,4.0,0.0,4.0,3.0,0.0,5.0,0.0,Aston Villa,2.0,0.0,0.0,0.0,1.0,0.1,0.1,119.0,0.3,1.0,0.0,10.0,3.0,0.0,1.0,9.6,0.0,1.0,0.0,142.0,1.0,1.0,,3.0,0.0,0.0,0.0,6.0,2.0,1,2.0,1.0,1.0
