player,position,team,age,birth_year,minutes_90s,tackles,dribble_tackles,dribbles_vs,dribbled_past,blocks,blocked_shots,interceptions,clearances,errors,club,games,goals,assists,pens_made,cards_yellow,xg,npxg,passes_completed,pass_xa,assisted_shots,crosses_into_penalty_area,progressive_passes,sca,gca,shots,average_shot_distance,through_balls,throw_ins,corner_kicks,touches,miscontrols,dispossessed,gk_goals_against,fouls,fouled,offsides,own_goals,ball_recoveries,aerials_won,unused_subs,points_per_game,on_goals_for,plus_minus
Marcus Thuram,FW,France,25-134,1997.0,1.7,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,M'Gladbach,5.0,0.0,2.0,0.0,1.0,0.2,0.2,27.0,0.1,4.0,0.0,5.0,4.0,2.0,1.0,5.4,0.0,0.0,0.0,74.0,5.0,4.0,,3.0,5.0,1.0,0.0,7.0,8.0,2,2.6,6.0,3.0
Mario Götze,MF,Germany,30-198,1992.0,0.4,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,Eint Frankfurt,2.0,0.0,0.0,0.0,0.0,0.1,0.1,21.0,0.1,2.0,2.0,1.0,4.0,1.0,1.0,14.3,0.0,0.0,0.0,31.0,2.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1,1.5,3.0,1.0
Mario Pašalić,FW,Croatia,27-312,1995.0,3.0,7.0,3.0,7.0,4.0,6.0,2.0,3.0,3.0,0.0,Atalanta,7.0,0.0,0.0,0.0,0.0,0.3,0.3,76.0,0.2,1.0,1.0,5.0,4.0,0.0,3.0,7.8,1.0,0.0,0.0,132.0,6.0,3.0,,4.0,1.0,2.0,0.0,21.0,7.0,0,1.43,1.0,-1.0
Mark-Anthony Kaye,MF,Canada,28-016,1994.0,0.7,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Toronto FC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.5,0.0,1.0,0.0,68.0,0.0,0.0,,1.0,1.0,0.0,0.0,4.0,0.0,2,0.0,1.0,-1.0
Marko Grujić,MF,Serbia,26-249,1996.0,0.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Porto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,29.6,0.0,1.0,0.0,20.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,2,1.0,0.0,0.0
Marko Livaja,FW,Croatia,29-114,1993.0,2.7,2.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,Hajduk Split,6.0,1.0,1.0,0.0,0.0,0.8,0.8,35.0,0.1,3.0,0.0,7.0,3.0,1.0,6.0,15.1,2.0,0.0,0.0,83.0,7.0,2.0,,6.0,3.0,1.0,0.0,10.0,4.0,1,1.5,4.0,2.0
Marquinhos,DF,Brazil,28-218,1994.0,4.7,5.0,4.0,5.0,1.0,6.0,1.0,2.0,6.0,0.0,Paris S-G,5.0,0.0,0.0,0.0,1.0,0.2,0.2,352.0,1.1,4.0,1.0,18.0,9.0,1.0,2.0,10.4,0.0,2.0,0.0,392.0,2.0,0.0,,1.0,2.0,0.0,0.0,28.0,4.0,0,2.0,8.0,5.0
Marten de Roon,MF,Netherlands,31-264,1991.0,2.0,7.0,1.0,5.0,4.0,4.0,0.0,2.0,6.0,0.0,Atalanta,5.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,1.0,0.0,142.0,1.0,0.0,,3.0,0.0,0.0,0.0,8.0,4.0,0,2.2,5.0,4.0
Martin Braithwaite,FW,Denmark,31-196,1991.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanyol,2.0,0.0,0.0,0.0,0.0,0.1,0.1,14.0,0.1,3.0,0.0,1.0,3.0,0.0,1.0,11.5,0.0,0.0,0.0,24.0,2.0,1.0,,0.0,0.0,2.0,0.0,1.0,1.0,1,0.0,1.0,-1.0
Martin Hongla,MF,Cameroon,24-277,1998.0,1.3,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,Hellas Verona,2.0,0.0,0.0,0.0,0.0,0.1,0.1,49.0,0.1,2.0,0.0,3.0,5.0,0.0,1.0,13.0,1.0,1.0,0.0,73.0,0.0,0.0,,1.0,1.0,1.0,0.0,3.0,1.0,0,0.5,1.0,-3.0
Martinelli,FW,Brazil,21-183,2001.0,1.3,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,Arsenal,3.0,0.0,0.0,0.0,0.0,0.5,0.5,34.0,0.3,3.0,1.0,2.0,8.0,0.0,4.0,13.2,0.0,4.0,0.0,70.0,4.0,2.0,,2.0,3.0,1.0,0.0,5.0,0.0,2,2.0,0.0,-2.0
Martín Cáceres,DF,Uruguay,35-255,1987.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,LA Galaxy,1.0,0.0,0.0,0.0,1.0,0.0,0.0,68.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,0.0,12.0,0.0,83.0,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,1.0,2,1.0,0.0,0.0
Mason Mount,MF,England,23-342,1999.0,2.1,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Chelsea,4.0,0.0,0.0,0.0,0.0,0.2,0.2,61.0,0.1,1.0,0.0,4.0,2.0,0.0,4.0,23.0,0.0,0.0,0.0,91.0,6.0,2.0,,7.0,9.0,0.0,0.0,7.0,0.0,1,1.75,4.0,3.0
Mateo Kovačić,MF,Croatia,28-226,1994.0,7.1,24.0,4.0,11.0,7.0,4.0,1.0,4.0,5.0,0.0,Chelsea,7.0,0.0,0.0,0.0,2.0,0.3,0.3,415.0,1.2,9.0,0.0,31.0,17.0,2.0,3.0,17.0,3.0,1.0,5.0,521.0,10.0,7.0,,3.0,11.0,0.0,0.0,46.0,4.0,0,1.43,6.0,-1.0
Matheus Nunes,MF,Portugal,24-113,1998.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Wolves,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,30.8,0.0,1.0,0.0,39.0,4.0,1.0,,2.0,2.0,0.0,0.0,0.0,0.0,3,1.5,2.0,1.0
Mathew Leckie,MF,Australia,31-317,1991.0,3.7,4.0,2.0,5.0,3.0,5.0,0.0,1.0,6.0,0.0,Melb City,4.0,1.0,1.0,0.0,0.0,0.1,0.1,67.0,0.0,2.0,0.0,7.0,6.0,1.0,1.0,13.6,0.0,2.0,0.0,157.0,15.0,7.0,,8.0,6.0,0.0,0.0,15.0,14.0,0,1.5,3.0,-3.0
Mathew Ryan,GK,Australia,30-254,1992.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,FC Copenhagen,4.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,176.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,4.0,0.0,0,1.5,4.0,-2.0
Mathias Jensen,MF,Denmark,26-351,1996.0,0.9,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,Brentford,2.0,0.0,0.0,0.0,1.0,0.1,0.1,52.0,0.1,4.0,0.0,4.0,5.0,0.0,2.0,17.9,0.0,3.0,0.0,76.0,2.0,0.0,,2.0,1.0,0.0,0.0,5.0,1.0,1,0.5,0.0,0.0
Mathías Olivera,DF,Uruguay,25-048,1997.0,2.8,9.0,4.0,7.0,3.0,9.0,0.0,2.0,10.0,0.0,Napoli,3.0,0.0,0.0,0.0,1.0,0.1,0.1,104.0,0.5,5.0,2.0,7.0,9.0,0.0,2.0,16.9,0.0,25.0,0.0,178.0,7.0,2.0,,2.0,3.0,0.0,0.0,15.0,6.0,0,1.33,2.0,1.0
Matt Turner,GK,United States,28-177,1994.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Arsenal,4.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,137.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,0.0,0,1.25,3.0,-1.0
Matthias Ginter,DF,Germany,28-333,1994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Freiburg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2,3.0,0.0,0.0
Matthijs de Ligt,DF,Netherlands,23-128,1999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Bayern Munich,2.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,49.0,0.0,1.0,,4.0,1.0,0.0,0.0,3.0,5.0,3,3.0,2.0,2.0
Matty Cash,DF,Poland,25-133,1997.0,4.0,4.0,3.0,6.0,3.0,7.0,2.0,0.0,17.0,0.0,Aston Villa,4.0,0.0,0.0,0.0,2.0,0.0,0.0,123.0,0.5,2.0,2.0,8.0,4.0,0.0,1.0,24.2,0.0,30.0,0.0,197.0,3.0,2.0,,7.0,3.0,0.0,0.0,10.0,2.0,0,1.0,3.0,-2.0
Mattéo Guendouzi,FW,France,23-248,1999.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Marseille,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,36.0,0.0,1.0,,0.0,1.0,0.0,0.0,4.0,1.0,6,0.0,0.0,-1.0
Matías Vecino,MF,Uruguay,31-116,1991.0,2.2,4.0,1.0,3.0,2.0,6.0,2.0,4.0,1.0,0.0,Lazio,3.0,0.0,0.0,0.0,0.0,0.1,0.1,76.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,10.1,0.0,0.0,0.0,130.0,3.0,1.0,,4.0,0.0,0.0,0.0,18.0,3.0,0,1.33,0.0,-1.0
Matías Viña,DF,Uruguay,25-039,1997.0,0.2,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Roma,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,0.0,26.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,1,0.5,0.0,-1.0
Maxi Gómez,FW,Uruguay,26-126,1996.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trabzonspor,2.0,0.0,0.0,0.0,0.0,0.1,0.1,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,26.1,0.0,0.0,0.0,9.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,2.0,1,1.5,0.0,-1.0
Maya Yoshida,DF,Japan,34-116,1988.0,4.3,4.0,1.0,1.0,0.0,6.0,3.0,3.0,24.0,0.0,Schalke 04,4.0,0.0,1.0,0.0,1.0,0.0,0.0,198.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,,0.0,0.0,0.0,277.0,1.0,1.0,,3.0,4.0,0.0,0.0,30.0,10.0,0,1.75,5.0,1.0
Mehdi Taremi,FW,IR Iran,30-153,1992.0,3.0,4.0,2.0,5.0,3.0,5.0,1.0,2.0,3.0,0.0,Porto,3.0,2.0,1.0,1.0,0.0,1.3,0.6,58.0,0.1,9.0,0.0,4.0,11.0,3.0,5.0,16.0,0.0,0.0,1.0,123.0,7.0,5.0,,5.0,4.0,1.0,0.0,13.0,5.0,0,1.0,4.0,-3.0
Mehdi Torabi,MF,IR Iran,28-099,1994.0,0.7,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,Persepolis,3.0,0.0,0.0,0.0,0.0,0.1,0.1,30.0,0.2,3.0,0.0,6.0,5.0,0.0,2.0,19.6,1.0,1.0,0.0,48.0,2.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,0,1.0,4.0,2.0
Memphis,FW,Netherlands,28-308,1994.0,3.3,1.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,Barcelona,5.0,1.0,0.0,0.0,1.0,1.5,1.5,93.0,0.4,3.0,0.0,4.0,5.0,3.0,10.0,15.0,1.0,1.0,0.0,165.0,10.0,7.0,,1.0,5.0,1.0,0.0,10.0,2.0,0,2.2,7.0,3.0
Meshaal Barsham,GK,Qatar,24-307,1998.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Al Sadd SC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,69.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-4.0
Michael Estrada,FW,Ecuador,26-255,1996.0,2.5,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,Cruz Azul,3.0,0.0,0.0,0.0,0.0,0.3,0.3,28.0,0.4,1.0,0.0,7.0,4.0,1.0,3.0,13.0,1.0,1.0,0.0,71.0,6.0,2.0,,6.0,7.0,2.0,0.0,5.0,13.0,0,1.33,3.0,1.0
Michał Skóraś,MF,Poland,22-306,2000.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Lech Poznań,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,22.2,0.0,0.0,0.0,12.0,0.0,0.0,,1.0,2.0,0.0,0.0,1.0,1.0,3,0.0,0.0,-2.0
Michel Aebischer,MF,Switzerland,25-346,1997.0,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Bologna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,-1.0
Michy Batshuayi,FW,Belgium,29-077,1993.0,1.7,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Fenerbahçe,2.0,1.0,0.0,0.0,0.0,0.8,0.8,16.0,0.0,1.0,0.0,1.0,2.0,0.0,6.0,15.4,0.0,0.0,0.0,42.0,5.0,4.0,,5.0,1.0,2.0,0.0,4.0,1.0,1,1.5,1.0,0.0
Miki Yamane,DF,Japan,28-361,1993.0,0.7,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,Kawa Frontale,1.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.1,1.0,0.0,5.0,1.0,0.0,0.0,,0.0,5.0,0.0,36.0,0.0,0.0,,2.0,1.0,0.0,0.0,5.0,0.0,3,0.0,0.0,0.0
Mikkel Damsgaard,MF,Denmark,22-168,2000.0,1.7,4.0,0.0,4.0,4.0,2.0,0.0,2.0,1.0,0.0,Brentford,3.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.2,2.0,2.0,5.0,3.0,0.0,0.0,,0.0,0.0,0.0,91.0,2.0,2.0,,2.0,1.0,1.0,0.0,10.0,0.0,0,0.33,1.0,-1.0
Milad Mohammadi,DF,IR Iran,29-080,1993.0,2.2,10.0,3.0,4.0,1.0,2.0,0.0,1.0,6.0,0.0,AEK Athens,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,12.0,0.0,90.0,1.0,2.0,,2.0,1.0,0.0,0.0,11.0,3.0,0,1.0,2.0,-3.0
Milan Borjan,GK,Canada,35-056,1987.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Red Star,3.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,105.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,2.0,-5.0
Miloš Degenek,DF,Australia,28-234,1994.0,2.0,6.0,5.0,6.0,1.0,2.0,1.0,1.0,9.0,0.0,Columbus Crew,4.0,0.0,0.0,0.0,2.0,0.0,0.0,67.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,26.0,0.0,123.0,1.0,1.0,,2.0,8.0,0.0,0.0,15.0,6.0,0,1.5,1.0,-1.0
Miloš Veljković,DF,Serbia,27-083,1995.0,2.5,4.0,2.0,2.0,0.0,2.0,2.0,0.0,7.0,0.0,Werder Bremen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,127.0,0.0,0.0,,1.0,0.0,0.0,0.0,12.0,2.0,0,0.33,5.0,-3.0
Mislav Oršić,FW,Croatia,29-354,1992.0,1.8,3.0,2.0,6.0,4.0,2.0,0.0,0.0,1.0,0.0,Dinamo Zagreb,6.0,1.0,2.0,0.0,0.0,0.4,0.4,40.0,0.6,5.0,0.0,5.0,7.0,2.0,9.0,22.5,2.0,1.0,2.0,81.0,7.0,0.0,,3.0,0.0,1.0,0.0,4.0,0.0,1,1.5,4.0,2.0
Mitchell Duke,FW,Australia,31-334,1991.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,Fagi Okayama,4.0,1.0,0.0,0.0,1.0,0.4,0.4,36.0,0.0,1.0,0.0,1.0,5.0,2.0,7.0,17.6,0.0,0.0,0.0,96.0,11.0,1.0,,6.0,3.0,1.0,0.0,11.0,11.0,0,1.5,3.0,-1.0
Mohamed Ali Ben Romdhane,MF,Tunisia,23-103,1999.0,0.8,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Espérance de Tunis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,5.0,,1.0,1.0,0.0,0.0,10.0,1.0,2,3.0,1.0,1.0
Mohamed Dräger,DF,Tunisia,26-176,1996.0,1.5,5.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,Luzern,2.0,0.0,0.0,0.0,0.0,0.2,0.2,36.0,0.1,1.0,1.0,4.0,6.0,0.0,4.0,25.8,0.0,17.0,0.0,70.0,5.0,0.0,,2.0,1.0,0.0,0.0,2.0,1.0,1,0.5,0.0,-1.0
Mohamed Kanno,MF,Saudi Arabia,28-087,1994.0,3.0,6.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,0.0,Al-Hilal,3.0,0.0,0.0,0.0,0.0,0.3,0.3,119.0,0.1,0.0,0.0,11.0,5.0,0.0,6.0,20.3,0.0,0.0,0.0,184.0,6.0,1.0,,8.0,3.0,1.0,0.0,19.0,8.0,0,1.0,3.0,-2.0
Mohammed Al-Breik,DF,Saudi Arabia,30-094,1992.0,0.7,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,Al-Hilal,2.0,0.0,0.0,0.0,0.0,0.4,0.0,39.0,0.1,1.0,0.0,6.0,1.0,0.0,2.0,20.4,0.0,5.0,0.0,57.0,1.0,0.0,,0.0,1.0,0.0,0.0,3.0,1.0,0,1.5,0.0,-1.0
Mohammed Al-Owais,GK,Saudi Arabia,31-069,1991.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Al-Hilal,3.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,113.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,2.0,0,1.0,3.0,-2.0
Mohammed Muntari,FW,Qatar,28-363,1993.0,0.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Al Duhail SC,3.0,1.0,0.0,0.0,0.0,0.2,0.2,17.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,13.7,0.0,0.0,0.0,28.0,1.0,0.0,,1.0,2.0,0.0,0.0,4.0,3.0,0,0.0,1.0,0.0
Mohammed Salisu,DF,Ghana,23-245,1999.0,3.0,2.0,1.0,1.0,0.0,5.0,4.0,3.0,17.0,0.0,Southampton,3.0,1.0,0.0,0.0,0.0,0.8,0.8,109.0,0.3,2.0,0.0,8.0,4.0,2.0,2.0,9.3,0.0,0.0,0.0,184.0,1.0,1.0,,6.0,1.0,0.0,0.0,15.0,8.0,0,1.0,5.0,-2.0
Mohammed Waad,MF,Qatar,23-091,1999.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,Al Sadd SC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,16.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,-1.0
Moisés Caicedo,MF,Ecuador,21-046,2001.0,3.0,6.0,0.0,3.0,3.0,4.0,0.0,2.0,2.0,1.0,Brighton,3.0,1.0,0.0,0.0,1.0,0.5,0.5,126.0,0.0,0.0,0.0,7.0,5.0,1.0,3.0,16.0,0.0,0.0,0.0,173.0,3.0,1.0,,4.0,5.0,0.0,0.0,14.0,1.0,0,1.33,4.0,1.0
Montassar Talbi,DF,Tunisia,24-206,1998.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,2.0,18.0,0.0,Lorient,3.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,33.7,0.0,0.0,0.0,177.0,1.0,1.0,,4.0,2.0,0.0,0.0,16.0,8.0,0,1.33,1.0,0.0
Morteza Pouraliganji,DF,IR Iran,30-243,1992.0,3.0,2.0,1.0,2.0,1.0,5.0,3.0,6.0,10.0,0.0,Persepolis,3.0,0.0,0.0,0.0,1.0,0.1,0.1,92.0,0.2,2.0,0.0,7.0,5.0,1.0,2.0,16.8,0.0,0.0,0.0,156.0,1.0,0.0,,5.0,1.0,0.0,0.0,16.0,9.0,0,1.0,4.0,-3.0
Moumi Ngamaleu,FW,Cameroon,28-162,1994.0,1.1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dynamo Mosc,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.1,1.0,0.0,2.0,2.0,0.0,0.0,,0.0,1.0,0.0,34.0,2.0,3.0,,3.0,5.0,0.0,0.0,5.0,0.0,1,1.5,0.0,0.0
Munir,GK,Morocco,33-222,1989.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al-Wehda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,3.0,2.0,2.0
Musab Kheder,DF,Qatar,29-083,1993.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Sadd SC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
Na Sang-ho,FW,Korea Republic,26-128,1996.0,1.3,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,FC Seoul,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.1,3.0,1.0,2.0,4.0,0.0,1.0,10.6,0.0,1.0,0.0,60.0,4.0,4.0,,2.0,0.0,0.0,0.0,5.0,3.0,2,0.5,2.0,1.0
Nader Ghandri,DF,Tunisia,27-303,1995.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,1.0,4.0,0.0,Club Africain,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,2.0,2,3.0,1.0,1.0
Nahuel Molina,DF,Argentina,24-256,1998.0,6.3,8.0,4.0,8.0,4.0,7.0,1.0,3.0,11.0,0.0,Atlético Madrid,7.0,1.0,1.0,0.0,0.0,0.5,0.5,291.0,0.3,3.0,1.0,11.0,10.0,2.0,2.0,16.2,0.0,62.0,0.0,398.0,6.0,3.0,,3.0,0.0,1.0,0.0,23.0,0.0,0,2.0,14.0,7.0
Nampalys Mendy,MF,Senegal,30-178,1992.0,3.0,4.0,2.0,4.0,2.0,4.0,0.0,3.0,3.0,0.0,Leicester City,4.0,0.0,0.0,0.0,1.0,0.1,0.1,141.0,0.1,1.0,1.0,6.0,6.0,0.0,2.0,22.6,0.0,0.0,0.0,182.0,4.0,0.0,,5.0,2.0,0.0,0.0,18.0,0.0,0,1.5,2.0,-3.0
Nasser Al-Dawsari,FW,Saudi Arabia,23-364,1998.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al-Hilal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.1,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,13.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
Nathan Aké,DF,Netherlands,27-303,1995.0,5.3,6.0,3.0,3.0,0.0,3.0,2.0,8.0,20.0,0.0,Manchester City,5.0,0.0,0.0,0.0,1.0,0.0,0.0,315.0,0.1,0.0,0.0,19.0,1.0,0.0,0.0,,0.0,11.0,0.0,393.0,1.0,0.0,,4.0,6.0,0.0,0.0,21.0,10.0,0,2.2,10.0,6.0
Nathaniel Atkinson,DF,Australia,23-188,1999.0,0.9,4.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,Hearts,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,8.0,0.0,43.0,0.0,3.0,,0.0,0.0,0.0,0.0,6.0,0.0,2,0.0,1.0,-3.0
Nawaf Al Abed,MF,Saudi Arabia,32-326,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Al-Shabab,2.0,0.0,0.0,0.0,1.0,0.1,0.1,33.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,21.1,0.0,0.0,2.0,51.0,6.0,5.0,,2.0,2.0,0.0,0.0,2.0,0.0,1,1.5,2.0,1.0
Nayef Aguerd,DF,Morocco,26-263,1996.0,3.9,4.0,2.0,2.0,0.0,3.0,2.0,4.0,12.0,0.0,West Ham,4.0,0.0,0.0,0.0,0.0,0.2,0.2,137.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,185.0,1.0,0.0,,2.0,0.0,1.0,1.0,18.0,5.0,2,2.0,4.0,3.0
Naïm Sliti,MF,Tunisia,30-144,1992.0,1.3,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Al-Ettifaq,2.0,0.0,0.0,0.0,0.0,0.1,0.1,29.0,0.1,2.0,1.0,8.0,5.0,0.0,1.0,10.3,0.0,2.0,5.0,67.0,4.0,1.0,,0.0,3.0,2.0,0.0,8.0,1.0,1,0.5,0.0,-1.0
